abbreviation,answer,riddle,hint,
IT,Information Technology,What field deals with computers and data?,,
CPU,Central Processing Unit,"What ""brain"" is the heart of your computer?",,
RAM,Random Access Memory,What memory allows quick data access but doesn't store long-term?,,
HDD,Hard Disk Drive,What spins and stores your data like a digital record player?,,
SSD,Solid State Drive,What drive has no moving parts but holds data like magic?,,
GPU,Graphics Processing Unit,What unit makes your games beautiful and videos smooth?,,
OS,Operating System,What system manages all the software on your computer?,,
LAN,Local Area Network,What network connects devices within a small area like an office?,,
WAN,Wide Area Network,What network spans larger distances, even across cities?,
VPN,Virtual Private Network,What network connection lets you browse securely and privately?,,
DNS,Domain Name System,What system translates human-friendly URLs to IP addresses?,,
IP,Internet Protocol,What protocol routes data packets across the internet?,,
HTTP,Hypertext Transfer Protocol,What protocol is used to fetch web pages?,,
HTTPS,Hypertext Transfer Protocol Secure,What protocol adds a layer of security to web communication?,,
URL,Uniform Resource Locator,What's the web address that helps you find sites?,,
HTML,Hypertext Markup Language,What language structures web content and documents?,,
CSS,Cascading Style Sheets,What language styles web content, making it look good?,
PHP,Hypertext Preprocessor,What scripting language is often used in web development?,,
SQL,Structured Query Language,What language manages and queries databases?,,
API,Application Programming Interface,What interface lets different software systems communicate?,,
SDK,Software Development Kit,What kit provides tools to build software applications?,,
IDE,Integrated Development Environment,What environment makes coding easier with tools and features?,,
GUI,Graphical User Interface,What interface uses icons and visuals to interact with software?,,
CLI,Command Line Interface,What interface relies on text commands for computer interaction?,,
IoT,Internet of Things,What's the concept of interconnected devices sharing data?,,
WLAN,Wireless Local Area Network,What wireless network covers a limited area like a cafe?,,
VoIP,Voice over Internet Protocol,What protocol lets you make phone calls over the internet?,,
NFC,Near Field Communication,What technology enables contactless data exchange?,,
SSL,Secure Sockets Layer,What technology encrypts data for secure online communication?,,
TLS,Transport Layer Security,What security protocol protects data during transmission?,,
RDP,Remote Desktop Protocol,What protocol lets you control a computer remotely?,,
FTP,File Transfer Protocol,What protocol is used for transferring files over a network?,,
SSH,Secure Shell,What protocol provides secure remote access to a computer?,,
SMB,Server Message Block,What protocol allows file and printer sharing over a network?,,
TCP,Transmission Control Protocol,What protocol ensures reliable data transmission?,,
UDP,User Datagram Protocol,What protocol is faster but less reliable for data transmission?,,
XSS,Cross-Site Scripting,What attack involves injecting malicious scripts into websites?,,
CSRF,Cross-Site Request Forgery,What attack tricks users into performing actions without their knowledge?,,
HTML5,Hypertext Markup Language 5,What version of HTML brought multimedia and interactivity?,,
CSS3,Cascading Style Sheets 3,What version of CSS added animations and more styling options?,,
SATA,Serial Advanced Technology Attachment,What technology connects storage devices to computers?,,
USB,Universal Serial Bus,What common interface connects devices like printers and flash drives?,,
VPN,Virtual Private Network,What network connection lets you browse securely and privately?,,
API,Application Programming Interface,What interface lets different software systems communicate?,,
SaaS,Software as a Service,What model offers software access over the internet, not downloads?,
PaaS,Platform as a Service,What model provides a platform for developing, testing, and deploying apps?
IaaS,Infrastructure as a Service,What model offers virtualized computing resources over the internet?,,
DNS,Domain Name System,What system translates human-friendly URLs to IP addresses?,,
LAN,Local Area Network,What network connects devices within a small area like an office?,,
WAN,Wide Area Network,What network spans larger distances, even across cities?,
UI,User Interface,What's the part of software that users interact with?,,
UX,User Experience,What focuses on how users feel when interacting with software?,,
CMS,Content Management System,What system manages digital content like websites?,,
ERP,Enterprise Resource Planning,What software integrates and manages business processes?,,
CRM,Customer Relationship Management,What system manages interactions with customers?,,
SMTP,Simple Mail Transfer Protocol,What protocol sends email from a client to a server or between servers?,,
POP3,Post Office Protocol 3,What protocol retrieves email from a server and stores it locally?,,
IMAP,Internet Message Access Protocol,What protocol lets you access and manage email on a server?,,
RAID,Redundant Array of Independent Disks,What technology combines multiple drives for data protection and speed?,,
